id,timestamp,sensor,value
586368,31/08/17 00:35,AMPL,339
586369,31/08/17 00:36,AMPL,200
586370,31/08/17 00:59,TEMP,27
586371,31/08/17 00:59,HUM,37
586372,31/08/17 01:59,TEMP,27
586373,31/08/17 01:59,HUM,37
586374,31/08/17 02:06,AMPL,340
586375,31/08/17 02:06,AMPL,201
586376,31/08/17 02:59,TEMP,27
586377,31/08/17 02:59,HUM,37
586378,31/08/17 03:59,TEMP,27
586379,31/08/17 03:59,HUM,37
586380,31/08/17 04:59,TEMP,27
586381,31/08/17 04:59,HUM,37
586382,31/08/17 05:59,TEMP,27
586383,31/08/17 05:59,HUM,37
586384,31/08/17 06:59,TEMP,27
586385,31/08/17 06:59,HUM,37
586386,31/08/17 07:59,TEMP,27
586387,31/08/17 07:59,HUM,37
586388,31/08/17 08:59,TEMP,28
586389,31/08/17 08:59,HUM,37
586390,31/08/17 09:06,AMPL,341
586391,31/08/17 09:06,AMPL,201
586392,31/08/17 09:39,AMPL,339
586393,31/08/17 09:39,AMPL,200
586394,31/08/17 09:59,TEMP,27
586395,31/08/17 09:59,HUM,37
586396,31/08/17 10:59,TEMP,27
586397,31/08/17 10:59,HUM,37
586398,31/08/17 11:59,TEMP,27
586399,31/08/17 11:59,HUM,37
586400,31/08/17 12:59,TEMP,27
586401,31/08/17 12:59,HUM,37
586402,31/08/17 13:59,TEMP,28
586403,31/08/17 13:59,HUM,36
586404,31/08/17 14:36,AMPL,335
586405,31/08/17 14:37,AMPL,197
586406,31/08/17 14:59,TEMP,27
586407,31/08/17 14:59,HUM,37
586408,31/08/17 15:06,AMPL,329
586409,31/08/17 15:06,AMPL,189
586410,31/08/17 15:09,AMPL,325
586411,31/08/17 15:10,AMPL,189
586412,31/08/17 15:12,AMPL,320
586413,31/08/17 15:12,AMPL,191
586414,31/08/17 15:13,AMPL,322
586415,31/08/17 15:14,AMPL,193
586416,31/08/17 15:22,AMPL,323
586417,31/08/17 15:22,AMPL,192
586418,31/08/17 15:44,AMPL,333
586419,31/08/17 15:45,AMPL,187
586420,31/08/17 15:47,AMPL,323
586421,31/08/17 15:48,AMPL,191
586422,31/08/17 15:52,AMPL,333
586423,31/08/17 15:52,AMPL,184
586424,31/08/17 15:55,AMPL,307
586425,31/08/17 15:59,TEMP,27
586426,31/08/17 15:59,HUM,37
586427,31/08/17 16:01,AMPL,183
586428,31/08/17 16:02,AMPL,309
586429,31/08/17 16:04,AMPL,185
586430,31/08/17 16:04,AMPL,316
586431,31/08/17 16:05,AMPL,189
586432,31/08/17 16:06,AMPL,320
586433,31/08/17 16:06,AMPL,190
586434,31/08/17 16:08,AMPL,318
586435,31/08/17 16:08,AMPL,183
586436,31/08/17 16:09,AMPL,318
586437,31/08/17 16:10,AMPL,189
586438,31/08/17 16:14,AMPL,316
586439,31/08/17 16:19,AMPL,187
586440,31/08/17 16:20,AMPL,314
586441,31/08/17 16:22,AMPL,181
586442,31/08/17 16:22,AMPL,313
586443,31/08/17 16:23,AMPL,187
586444,31/08/17 16:24,AMPL,320
586445,31/08/17 16:26,LIGHT,1
586446,31/08/17 16:26,AMPL,171
586447,31/08/17 16:26,AMPL,296
586448,31/08/17 16:26,AMPL,162
586449,31/08/17 16:26,AMPL,340
586450,31/08/17 16:26,AMPL,188
586451,31/08/17 16:27,AMPL,315
586452,31/08/17 16:27,AMPL,159
586453,31/08/17 16:27,AMPL,279
586454,31/08/17 16:28,AMPL,160
586455,31/08/17 16:28,AMPL,324
586456,31/08/17 16:28,AMPL,191
586457,31/08/17 16:28,AMPL,320
586458,31/08/17 16:28,AMPL,162
586459,31/08/17 16:28,AMPL,275
586460,31/08/17 16:30,AMPL,159
586461,31/08/17 16:30,AMPL,288
586462,31/08/17 16:30,LIGHT,0
586463,31/08/17 16:31,AMPL,558
586464,31/08/17 16:31,AMPL,331
586465,31/08/17 16:32,AMPL,189
586466,31/08/17 16:33,AMPL,325
586467,31/08/17 16:33,AMPL,192
586468,31/08/17 16:43,AMPL,328
586469,31/08/17 16:43,AMPL,188
586470,31/08/17 16:45,AMPL,315
586471,31/08/17 16:46,AMPL,182
586472,31/08/17 16:47,AMPL,310
586473,31/08/17 16:49,AMPL,185
586474,31/08/17 16:49,AMPL,310
586475,31/08/17 16:57,AMPL,184
586476,31/08/17 16:59,AMPL,312
586477,31/08/17 16:59,TEMP,27
586478,31/08/17 16:59,HUM,37
586479,31/08/17 17:04,AMPL,174
586480,31/08/17 17:04,AMPL,301
586481,31/08/17 17:14,AMPL,179
586482,31/08/17 17:14,AMPL,312
586483,31/08/17 17:15,AMPL,182
586484,31/08/17 17:16,AMPL,311
586485,31/08/17 17:16,AMPL,186
586486,31/08/17 17:17,AMPL,324
586487,31/08/17 17:17,AMPL,190
586488,31/08/17 17:18,AMPL,318
586489,31/08/17 17:18,AMPL,190
586490,31/08/17 17:19,AMPL,322
586491,31/08/17 17:19,AMPL,193
586492,31/08/17 17:27,AMPL,322
586493,31/08/17 17:27,AMPL,190
586494,31/08/17 17:38,AMPL,317
586495,31/08/17 17:38,AMPL,188
586496,31/08/17 17:39,AMPL,314
586497,31/08/17 17:41,AMPL,187
586498,31/08/17 17:41,AMPL,312
586499,31/08/17 17:42,AMPL,180
586500,31/08/17 17:42,AMPL,305
586501,31/08/17 17:48,AMPL,181
586502,31/08/17 17:50,AMPL,322
586503,31/08/17 17:51,AMPL,193
586504,31/08/17 17:59,TEMP,28
586505,31/08/17 17:59,HUM,37
586506,31/08/17 18:23,AMPL,323
586507,31/08/17 18:23,AMPL,190
586508,31/08/17 18:27,AMPL,321
586509,31/08/17 18:27,AMPL,184
586510,31/08/17 18:30,AMPL,314
586511,31/08/17 18:32,AMPL,185
586512,31/08/17 18:34,AMPL,310
586513,31/08/17 18:37,AMPL,182
586514,31/08/17 18:38,AMPL,308
586515,31/08/17 18:40,AMPL,184
586516,31/08/17 18:40,AMPL,308
586517,31/08/17 18:51,AMPL,180
586518,31/08/17 18:51,AMPL,301
586519,31/08/17 18:59,TEMP,28
586520,31/08/17 18:59,HUM,37
586521,31/08/17 19:06,AMPL,179
586522,31/08/17 19:06,AMPL,304
586523,31/08/17 19:22,AMPL,180
586524,31/08/17 19:22,AMPL,304
586525,31/08/17 19:59,TEMP,28
586526,31/08/17 19:59,HUM,38
586527,31/08/17 20:59,TEMP,27
586528,31/08/17 20:59,HUM,38
586529,31/08/17 21:13,AMPL,179
586530,31/08/17 21:13,AMPL,299
586531,31/08/17 21:19,AMPL,179
586532,31/08/17 21:20,AMPL,305
586533,31/08/17 21:24,AMPL,179
586534,31/08/17 21:24,AMPL,305
586535,31/08/17 21:59,TEMP,27
586536,31/08/17 21:59,HUM,37
586537,31/08/17 22:10,AMPL,182
586538,31/08/17 22:10,AMPL,318
586539,31/08/17 22:10,AMPL,189
586540,31/08/17 22:12,AMPL,316
586541,31/08/17 22:13,AMPL,189
586542,31/08/17 22:15,AMPL,316
586543,31/08/17 22:19,AMPL,185
586544,31/08/17 22:23,AMPL,312
586545,31/08/17 22:27,AMPL,187
586546,31/08/17 22:30,AMPL,323
586547,31/08/17 22:30,AMPL,184
586548,31/08/17 22:30,AMPL,311
586549,31/08/17 22:31,AMPL,185
586550,31/08/17 22:32,AMPL,325
586551,31/08/17 22:32,AMPL,190
586552,31/08/17 22:36,AMPL,317
586553,31/08/17 22:38,AMPL,183
586554,31/08/17 22:38,AMPL,309
586555,31/08/17 22:47,AMPL,185
586556,31/08/17 22:48,AMPL,309
586557,31/08/17 22:59,TEMP,27
586558,31/08/17 22:59,HUM,37
586559,31/08/17 23:04,AMPL,178
586560,31/08/17 23:04,AMPL,321
586561,31/08/17 23:05,AMPL,192
586562,31/08/17 23:12,AMPL,321
586563,31/08/17 23:13,AMPL,187
586564,31/08/17 23:14,AMPL,317
586565,31/08/17 23:16,AMPL,187
586566,31/08/17 23:17,AMPL,317
586567,31/08/17 23:19,AMPL,186
586568,31/08/17 23:20,AMPL,311
586569,31/08/17 23:22,AMPL,182
586570,31/08/17 23:23,AMPL,308
586571,31/08/17 23:25,AMPL,182
586572,31/08/17 23:27,AMPL,310
586573,31/08/17 23:27,AMPL,184
586574,31/08/17 23:28,AMPL,314
586575,31/08/17 23:33,AMPL,182
586576,31/08/17 23:33,AMPL,306
586577,31/08/17 23:42,AMPL,181
586578,31/08/17 23:43,AMPL,304
586579,31/08/17 23:59,TEMP,27
586580,31/08/17 23:59,HUM,37
