id,"timestamp","behaviour"
1,"2016-05-20 14:00:00","wf,nz,rf,rb,wb,s6,rf,s3,oos,oos,oos,s3,rf,s6,rf,pa,cf,pa,wb,sn,wb,gn,gn,gn,gn,pa,s1,wf,s0,sn,wb,tu,wf,s1,scr,wf,sw,sw,sw,gn,wb,sw,wf,sw,rf,cf,cf,wb,rf,s5,wf,rb,rf,s6,rf,s3,oos,oos,rf,s3,rf,s6,sw,sn,gn,gn,pa,pa,sn"
2,"2016-05-19 15:36:00","rb,rf,wf,wf,s5,wf,rf,s3,rf,oos,oos,oos,oos,oos,s3,gn,gn,rf,wf,s5,wf,sn,sn,s5,sn,sn,s5,sn,sn,sn,wb,wb,rb,wb,wf,nz,sn,rb,sn,tu,rf,wf,s6,rf,s3,wf,wf,s3,rf,sn,scr,nz,sn,wb,gn,tu,wf,s5,wb,scr,gn,gn,gn,rf"
3,"2016-05-20 13:25:00","gn,gn,gn,wf,sn,gn,wb,pa,s5,rb,rf,wf,s5,sn,sn,wf,wf,oos,oos,s3,rf,rf,wf,oos,oos,gn,gn,gn,gn,pa,gn,pa,gn,gn,wb,pa,sw,sw,wf,pa,gn,gn,wf,pa,gn,wb,gn,pa,wf,gn,gn,wf,gn,gn,wf,s1,scr,s1,wb,wb,nb,nb,sn,wf,s1,sn"
4,"2016-07-20 12:31:00","wb,wf,gn,wf,pa,sn,pa,wf,s1,wf,sn,nb,sn,sn,sn,nb,nb,cp,cp,sn,pa,wb,sn,sn,wb,tu,sn,sn,wf,s2,wf,wb,sn,sn,pa,sn,nb,nb,nb,nb,nb,pa,nb,nb,nb,nb,nb,nb,nb,nb,nb,nb"
5,"2016-05-20 14:39:00","wb,gn,wf,gn,gn,gn,gn,gn,wb,gn,wf,gn,gn,gn,gn,gn,gn,gn,gn,gn,gn,gn,wf,gn,gn,oos,ef,s0,sn,wb,s1,wf,gn,tg,pa,rb,wb,sn,sn,wf,sn,wf,cf,gn,gn,wb,rf,sn,gn,cf,pa,pa,gn,gn,gn,wf,pa,s0,wf,wa,cf,cf,wa,dg,dg,dg,cf,cf,wf,wf,sw,sw"
6,"2016-05-20 14:07:00","wf,pa,wf,sn,gn,wb,wf,oos,gn,gn,gn,gn,oos,wf,gn,wb,tu,s1,sn,sn,gn,gn,gn,gn,sn,wf,pa,wf,rf,s6,wf,gn,gn,wf,gn,gn,s3,wf,gn,gn,wf,wf,gn,sn,wf,s3,sn,gn,s3,sw,sw,pa,gn,gn,gn,gn,gn,wb,wf,sn,sn,wb,wf,gn,gn"
7,"2016-05-20 14:31:00","wb,gn,gn,gn,gn,gn,gn,wb,wb,wf,pa,gn,gn,gn,gn,wb,gn,gn,gn,gn,pa,wf,gn,gn,wf,gn,gn,wb,gn,wb,gn,gn,gn,wf,wf,gn,gn,wf,gn,gn,gn,wf,cf,gn,gn,wf,wb,gn,gn,gn,gn,wb,rb"
8,"2016-07-20 12:47:00","tu,wf,wf,sn,wf,s5,sn,wf,rf,rf,wf,sw,sn,sw,sn,wf,wf,s6,sn,sn,rf,nz,rb,rf,s6,pa,sn,sn,gn,gn,gn,gn,pa,gn,gn,sn,cff,sn,cff,wf,wf,sn,cff,sw,wb,tu,sn,wf,oos,sn,sn,sn,wb,wb,tu,scr,sn,cff,sn"
9,"2016-05-20 14:15:00","pa,pa,s1,gn,sn,gn,nz,wb,wb,gn,wb,wb,wf,sh,sn,gn,gn,gn,wf,gn,gn,gn,gn,gn,sn,gn,wf,agn,gn,gn,gn,sn,wb,wf,s1,pa,gn,sn,sn,gn,wb,wf,wb,wb,pa,wb,wb,wb,rb,wb,s5,oos,wf,wf,sn,rf,s6,wf,s3,gn,gn,gn,s3,gn,rf,s6,rf,wf,nz,sn,gn,cf,wf"
10,"2016-05-20 14:24:00","wb,sn,wf,pa,s5,sn,tg,wf,pa,wb,sn,wf,s5,wb,sn,wb,wb,pa,wb,sn,wb,gn,wf,wb,gn,oos,oos,wb,oos,oos,wf,sn,yn,sv,sv,s5,pa,sn,sv,sw,sw,sw,sw,wb,wf,sw,nb,nb,nb,nb,wf,cf,sw,sw,yn,cf,ch,ch,sv,sv,ch"
11,"2016-07-20 18:49:00","wb,rb,rb,pa,wf,np,pa,wf,wf,scr,scr,wf,scr,wf,oos,s2,wf,scr,s0,wf,wf,sn,s0,wb,wf,s5,rf,scr,scr,wb,s5,scr,sn,pa,wf,pa,scr,wf,sn,sn,wf,s6,wf,pa,wf,rf,rf"
12,"2016-05-18 17:08:00","wb,wf,wf,rb,rf,gn,gn,gn,gn,gn,wb,wf,rb,rf,gn,gn,wb,gn,gn,sn,sn,wb,gn,sn,wb,wb,wf,sw,wf,sw,sw,rf,sn,sw,rf,sn,sn,gn,wf,wf,sn,sn,sn,sw,sw,sw,sw,wf,oos,oos,oos,oos,oos,oos,rf,rf"
13,"2016-05-19 15:20:00","wf,sn,sn,sn,wf,sn,sn,sn,sn,sn,sn,sn,sn,sn,sn,sn,sn,gg,sn,wf,wf,sn,sn,sn,sn,sn,sv,sv,sv,sv,sn,gg,sn,sn,sn,sv,nb,nb,nb,ch,sv,ch,ch,ch,ch,ch,ch,ch,sn,sn,sn,sv,sv,sv,sv"
14,"2016-07-20 18:50:00","sn,sn,sn,scr,scr,wf,wf,s3,rf,s2,wf,wb,wb,sn,sn,sn,wf,s0,wf,wb,gn,gn,s1,wf,rf,s5,sn,sn,dz,dz,dz,dz,dz,dz,dz,sn,wf,oos,oos,oos,oos,s3,wf,sn,sn,sn,sn,wf,wb,wb,sn,sn"
15,"2016-05-19 15:29:00","wf,wb,wb,wf,sn,wf,sn,wf,sn,wf,s5,wb,sn,sn,sn,sn,sn,sn,wf,wf,sn,wf,wf,wf,wb,rb,wf,s5,sn,wb,wb,sn,wf,wf,sn,wf,s1,sn,sn,sn,gn,s1,gn,gn,sn,wf,gn,s1,sn,gn,gn,gn,wf,sn,tu,s1,gn,sn,sn,sn,wb,sw,s1,wb,gn,gn,gn,gn,gn,wb,gn,sn,wf,sn"
16,"2016-07-20 12:43:00","wf,sn,tu,wf,sn,wf,s3,wf,sn,sn,wf,pa,wf,s6,wf,sn,sn,wf,np,wb,pa,wb,sn,wb,sw,wf,wf,wf,oos,oos,oos,sn,sn,wf,sn,oos,wb,pa,sn,sn,sn,sn,wf,wf,sn,sn,sn,sn,pa,pa,sn,wf,wb,wb"
17,"2016-05-20 13:45:00","s0,wf,sw,sw,wf,sn,sw,sn,sn,wf,nb,nb,sn,wf,s1,wf,wf,sn,wb,gn,gn,cff,cff,rf,rf,pt,pa,s1,pa,rf,rf,s3,rf,rf,agn,gn,gn,gn,agn,s5,sn,sn,wf,s4,tu,sn,wf,gn,gn,wf,wf,s3,oos,oos,oos,rf,rf,sn,pa,sn,gn,gn,gn,gn"
18,"2016-07-20 18:44:00","pa,sn,wf,sn,sn,sn,wf,sn,wf,tu,sn,sn,agn,sn,sn,wf,wf,oos,oos,oos,wf,wf,sn,sn,wf,tu,sn,sw,wb,sn,sn,sn,wf,wf,sn,wf,s5,wf,pa,rf,pa,wf,wf,rf,oos,oos,sn,sn,sn,sn"
19,"2016-07-20 18:55:00","rc,rc,rc,rc,nz,nz,rc,rc,rc,rc,rc,dz,dz,dz,dz,dz,dz,nz,nz,nz,dz,dz,dz,dz,dz,dz,rc,rc,rc,dz,dz,dz,dz,dz,dz,dz,sn,sn,sn,dz,dz,dz,dz,dz,rc,rc,rc,dz,dz,nz,nz,nzrc,rc,rc"
20,"2016-05-18 17:02:00","gn,gn,wb,wf,gn,sn,sn,sn,sn,tu,gn,rf,wf,gn,gn,sn,sn,sn,sn,sn,gn,gn,gn,wf,nb,wf,sn,wf,sn,wf,sn,sn,sn,sn,sn,sn,sn,sn,wf,rf,sn,oos,oos,oos,wf,sn,wf,sn,sn,wf,nb,wf,wf,sn,sn,sn,wf,wf"
21,"2016-07-20 12:28:00","wf,wf,wf,sn,sn,gn,s2,gn,gn,gn,wb,wb,wf,s2,gn,gn,gn,sn,sn,gn,sn,gn,gn,gn,gn,gn,gn,sn,wb,wf,gn,gn,gn,gn,gn,gn,gn,sw,sw,sw,gn,gn,gn,wf,wf,s2,sn,sn,sn,sw,sw,gn,gn,gn,gn,sn,sn,sw"
22,"2016-07-20 12:37:00","wf,gn,pa,wb,sn,sw,sw,wb,rb,wb,s5,wb,pa,sn,sn,wf,wf,sn,sn,rf,oos,oos,oos,s3,sn,rf,rf,sn,pa,wf,pa,wb,wf,wb,pa,pa,tu,wf,oos,oos,s0,wf,wf,dz,sn,dz,wf,sn,sn,sn,sn"
23,"2016-05-20 13:35:00","s2,wf,nib,sn,sn,sn,wb,s2,gn,gn,gn,rf,s3,rf,wf,gn,gn,wf,gn,cr,dr,gn,gn,gn,gn,scr,wf,gn,gn,gn,gn,wf,wf,rf,rf,rf,gn,gn,rf,rf,gn,sn,sn,sn,gn,wf,gn,gn,gn,sn,sn,bed,sn,sn,oos"
24,"2016-05-20 13:52:00","wf,wf,wf,s1,pa,wb,wf,pa,gn,s1,pa,sn,sn,nb,nb,nb,nb,pa,sn,nb,nb,nb,nb,nb,wb,s1,nb,nb,wb,wb,sn,cf,pa,pa,cff,sn,pa,np,s1,wb,rb,pa,sh,wf,pa,wf,wf,pa,s3,rf,wf,oos,s5,rf,rf,s6,rf,wf,rf,s3"
